"author_id","indexed_name","surname","given_name","gender","affiliation_current","citation_count","cited_by_count","coauthor_count","document_count","authorEC_doc_CS_2018","author_doc_CS_all_2018","author_doc_CS_all","publication_range","hindex","address","affiliation_name","department_id","department_name","author_count","city","country","date_created","affil_document_count","org_URL","org_domain","org_type","postal_code","search_link","sort_name","state","category"
57193949809,"Anastacio J.","Anastacio","Joel Alejandro Rosado","M",60072061,18,18,2,3,1,1,1,"2017-2018",2,"Malecon 100 y Loja","Escuela Superior Politecnica del Litoral Ecuador",,,1054,"Guayaquil","Ecuador","2/2/2008",1618,"http://www.espol.edu.ec/","espol.edu.ec","resi",,"https://api.elsevier.com/content/search/scopus?query=af-id%2860072061%29","Escuela Superior Politecnica del Litoral Ecuador","Guayas","national"
57201680975,"Anaya A.","Anaya","Andres","M",60077377,8,8,7,1,1,1,1,"2018-2018",1,"Vereda la Julita","Universidad Tecnológica de Pereira",,,1117,"Pereira","Colombia","15/2/2008",1943,"http://www.utp.edu.co/",,"univ",97,"https://api.elsevier.com/content/search/scopus?query=af-id%2860077377%29","Tecnológica de Pereira, Universidad","Risaralda","externalN"
57189875898,"Anaya-Isaza A.","Anaya-Isaza","A. J.",,60070351,8,8,10,2,2,2,2,"2016-2017",1,"Avenida Pastrana Borrero - Carrera 1","Universidad Surcolombiana",,,404,"Neiva","Colombia","2/2/2008",476,"http://portal.usco.edu.co:8080/portal/portal/pagina.jsp?id=70&index=1","portal.usco.edu.co:8080","univ",,"https://api.elsevier.com/content/search/scopus?query=af-id%2860070351%29","Surcolombiana, Universidad","Huila","externalN"
57202457319,"Añazco E.","Añazco","Edwin Valarezo","M",60001873,0,0,6,2,1,1,2,"2018-2019",0,"1 Hoegi-dong","Kyung Hee University",109491374,"Department of Biomedical Engineering",0,"Seoul","South Korea","9/9/2010",0,"http://www.kyunghee.ac.kr/main/index.html","kyunghee.ac.kr",,"130-701","https://api.elsevier.com/content/search/scopus?query=af-id%28109491374%29","Department of Biomedical Engineering","Seoul","nationalP"
57195266504,"Anchundia C.","Anchundia","Carlos E.","M",60072054,16,14,13,4,4,4,5,"2017-2018",2,"Campus Politecnico Ruben Orellana / Ladron de Guevara E11-253, ","Escuela Politécnica Nacional",113503667,"Departamento de Informática y Ciencias de la Computación",0,"Quito","Ecuador","9/4/2013",0,"https://www.epn.edu.ec/","epn.edu.ec",,170517,"https://api.elsevier.com/content/search/scopus?query=af-id%28113503667%29","Departamento de Informática y Ciencias de la Computación","Ecuador","national"
57203838495,"Anchundia M.","Anchundia","Mayra Alejandra Mendez","F",60105798,0,0,3,1,1,1,1,"2018-2018",0,"Robles 107 y Chambers","Universidad Politécnica Salesiana, Guayaquil",122828876,"Department of Computer Science",0,"Guayaquil","Ecuador","15/7/2019",0,"http://www.ups.edu.ec/",,,,"https://api.elsevier.com/content/search/scopus?query=af-id%28122828876%29","Department of Computer Science",,"national"
57202954399,"Anchundia S.","Anchundia","Silvia Medina","F",60072042,1,1,9,2,2,2,2,"2018-2018",1,"Ciudadela Universitaria Salvador Allende, Av. Delta y Av. Kennedy","Universidad de Guayaquil",121525049,"Engineering in Networking and Telecommunications",0,"Guayaquil","Ecuador","6/11/2018",0,"http://www.ug.edu.ec/","ug.edu.ec",,"090514","https://api.elsevier.com/content/search/scopus?query=af-id%28121525049%29","Engineering in Networking and Telecommunications","Guayas","national"
57190564290,"Andaluz G.","Andaluz","Gabriela M.","F",60109350,4,4,19,3,1,1,3,"2016-2019",1,"Av. Jorge Fernández s/n y Av. Simón Bolívar","Universidad Internacional del Ecuador",,,117,"Quito","Ecuador","13/9/2017",195,"http://www.uide.edu.ec/uide",,"univ",,"https://api.elsevier.com/content/search/scopus?query=af-id%2860109350%29","Internacional del Ecuador, Universidad",,"national"
36163031900,"Andaluz V.","Andaluz","Víctor Hugo","M",60104598,436,273,232,126,83,89,109,"2010-2020",10,"Av General Ruminahui s / n,","Universidad de las Fuerzas Armadas ESPE",,,1490,"Sangolqui","Ecuador","28/2/2014",1654,"http://www.espe.edu.ec/",,"univ",,"https://api.elsevier.com/content/search/scopus?query=af-id%2860104598%29","Escuela Politécnica del Ejército",,"national"
35329221600,"Andersson M.","Andersson","Martin","M",60029170,953,628,72,76,1,2,3,"2008-2020",17,"Box 117","Lunds Universitet",,,15892,"Lund","Sweden","2/2/2008",119481,"https://www.lunduniversity.lu.se/","lunduniversity.lu.se","univ","221 00","https://api.elsevier.com/content/search/scopus?query=af-id%2860029170%29","Lund University","Skane","externalN"
57207909243,"Andina M.","Andina","Michael","M",60105693,1,1,4,2,1,1,2,"2018-2019",1,"Calle Vieja 12-30 y Elia Liut","Universidad Politécnica Salesiana, Cuenca",,,727,"Cuenca","Ecuador","10/11/2015",829,"https://www.ups.edu.ec/en","ups.edu.ec","univ","010105","https://api.elsevier.com/content/search/scopus?query=af-id%2860105693%29","Politécnica Salesiana, Cuenca, Universidad","Azuay","nationalN"
57203007561,"Andino C.","Andino","Cristian","M",60104598,1,1,7,1,1,1,1,"2018-2018",1,"Av General Ruminahui s / n,","Universidad de las Fuerzas Armadas ESPE",114210552,"Departamento de Eléctrica y Electrónica",0,"Sangolqui","Ecuador","28/2/2014",0,"http://www.espe.edu.ec/",,,,"https://api.elsevier.com/content/search/scopus?query=af-id%28114210552%29","Departamento de Eléctrica y Electrónica",,"national"
57205596040,"Andrade B.","Andrade","Betsy","F",60072061,0,0,6,1,1,1,1,"2018-2018",0,"Malecon 100 y Loja","Escuela Superior Politecnica del Litoral Ecuador",,,1054,"Guayaquil","Ecuador","2/2/2008",1618,"http://www.espol.edu.ec/","espol.edu.ec","resi",,"https://api.elsevier.com/content/search/scopus?query=af-id%2860072061%29","Escuela Superior Politecnica del Litoral Ecuador","Guayas","nationalN"
57196235868,"Andrade C.","Andrade","Claudia M.","F",60108603,0,0,2,2,2,2,2,"2017-2018",0,"Panamericana Sur km 1 1/2","Escuela Superior Politécnica de Chimborazo",118448217,"Facultad de Recursos Naturales",0,"Riobamba","Ecuador","16/5/2017",0,"https://www.espoch.edu.ec/",,,"060155","https://api.elsevier.com/content/search/scopus?query=af-id%28118448217%29","Facultad de Recursos Naturales",,"national"
57188753314,"Andrade F.","Andrade","Fernanda","F",60104598,12,12,1,1,1,1,1,"2015-2015",1,"Av General Ruminahui s / n,","Universidad de las Fuerzas Armadas ESPE",,,1490,"Sangolqui","Ecuador","28/2/2014",1654,"http://www.espe.edu.ec/",,"univ",,"https://api.elsevier.com/content/search/scopus?query=af-id%2860104598%29","Escuela Politécnica del Ejército",,"national"
