"id_paper","YEAR","citedby_count","doctype","source_id","author_id","gender","orden","affil_id","affiliation_name","country_affil","affil_author_count","affil_document_count","org_type"
"2-s2.0-85041077570",2018,1,"Conference Paper","s5100152904","9-s2.0-57200382293","F",3,"9-u2.0-60105694","Universidad Estatal Península de Santa Elena","Ecuador",189,202,"univ"
"2-s2.0-85041077570",2018,1,"Conference Paper","s5100152904","9-s2.0-57200378749","M",4,"9-u2.0-60105694","Universidad Estatal Península de Santa Elena","Ecuador",189,202,"univ"
"2-s2.0-85022335264",2018,1,"Conference Paper","s5100152904","9-s2.0-57194798062","M",3,"9-u2.0-60108359","Universidad Internacional SEK Ecuador","Ecuador",65,102,"univ"
"2-s2.0-85058992586",2018,0,"Conference Paper","s21100892576","9-s2.0-57205196666","M",3,"9-u2.0-60072064","Universidad Tecnica Particular de Loja","Ecuador",983,1450,"univ"
"2-s2.0-85058992586",2018,0,"Conference Paper","s21100892576","9-s2.0-57195316099","M",4,"9-u2.0-60109350","Universidad Internacional del Ecuador","Ecuador",117,195,"univ"
"2-s2.0-85045302999",2018,2,"Conference Paper","s5100152904","9-s2.0-57201584366","M",3,"9-u2.0-60072064","Universidad Tecnica Particular de Loja","Ecuador",983,1450,"univ"
"2-s2.0-85045302999",2018,2,"Conference Paper","s5100152904","9-s2.0-57195316099","M",4,"9-u2.0-60072064","Universidad Tecnica Particular de Loja","Ecuador",983,1450,"univ"
"2-s2.0-85045302999",2018,2,"Conference Paper","s5100152904","9-s2.0-57195316099","M",4,"9-u2.0-60109350","Universidad Internacional del Ecuador","Ecuador",117,195,"univ"
"2-s2.0-85045146011",2018,3,"Conference Paper","s5100152904","9-s2.0-57201502060","M",3,"9-u2.0-60072064","Universidad Tecnica Particular de Loja","Ecuador",983,1450,"univ"
"2-s2.0-85045146011",2018,3,"Conference Paper","s5100152904","9-s2.0-57194976403","M",4,"9-u2.0-60072064","Universidad Tecnica Particular de Loja","Ecuador",983,1450,"univ"
"2-s2.0-85056785239",2018,0,"Conference Paper","s21100886394","9-s2.0-57196440536","F",3,"9-u2.0-60072042","Universidad de Guayaquil","Ecuador",942,821,"univ"
"2-s2.0-85050777711",2018,0,"Conference Paper","s21100870586","9-s2.0-57203156449","F",3,"9-u2.0-60104602","Universidad Espíritu Santo, Ecuador","Ecuador",173,421,"univ"
"2-s2.0-85041059952",2018,0,"Conference Paper","s5100152904","9-s2.0-57200380327","M",3,"9-u2.0-60105694","Universidad Estatal Península de Santa Elena","Ecuador",189,202,"univ"
"2-s2.0-85041059952",2018,0,"Conference Paper","s5100152904","9-s2.0-57195214722","M",4,"9-u2.0-60105694","Universidad Estatal Península de Santa Elena","Ecuador",189,202,"univ"
"2-s2.0-85055456816",2018,0,"Conference Paper","s21100218356","9-s2.0-57204395885","M",3,"9-u2.0-60104602","Universidad Espíritu Santo, Ecuador","Ecuador",173,421,"univ"
"2-s2.0-85055456816",2018,0,"Conference Paper","s21100218356","9-s2.0-24829599200","M",4,"9-u2.0-60104602","Universidad Espíritu Santo, Ecuador","Ecuador",173,421,"univ"
"2-s2.0-85050357949",2018,0,"Conference Paper","s25674","9-s2.0-57194613411","F",3,"9-u2.0-60104598","Universidad de las Fuerzas Armadas ESPE","Ecuador",1490,1654,"univ"
"2-s2.0-85050357949",2018,0,"Conference Paper","s25674","9-s2.0-57190035096","M",4,"9-u2.0-60104598","Universidad de las Fuerzas Armadas ESPE","Ecuador",1490,1654,"univ"
"2-s2.0-85050310571",2018,0,"Conference Paper","s25674","9-s2.0-57193071479","M",3,"9-u2.0-60104598","Universidad de las Fuerzas Armadas ESPE","Ecuador",1490,1654,"univ"
"2-s2.0-85050310571",2018,0,"Conference Paper","s25674","9-s2.0-57193066848","M",4,"9-u2.0-60104598","Universidad de las Fuerzas Armadas ESPE","Ecuador",1490,1654,"univ"
"2-s2.0-85050307795",2018,0,"Conference Paper","s25674","9-s2.0-57193056785","M",3,"9-u2.0-60104598","Universidad de las Fuerzas Armadas ESPE","Ecuador",1490,1654,"univ"
"2-s2.0-85050307795",2018,0,"Conference Paper","s25674","9-s2.0-57190035096","M",4,"9-u2.0-60106645","Universidad Técnica de Ambato","Ecuador",655,587,"univ"
"2-s2.0-85041041693",2018,0,"Conference Paper","s5100152904","9-s2.0-57200380626","M",3,"9-u2.0-60104598","Universidad de las Fuerzas Armadas ESPE","Ecuador",1490,1654,"univ"
"2-s2.0-85041041693",2018,0,"Conference Paper","s5100152904","9-s2.0-57200380597","F",4,"9-u2.0-60106645","Universidad Técnica de Ambato","Ecuador",655,587,"univ"
"2-s2.0-85041034828",2018,0,"Conference Paper","s5100152904","9-s2.0-57200384141","M",3,"9-u2.0-60104598","Universidad de las Fuerzas Armadas ESPE","Ecuador",1490,1654,"univ"
"2-s2.0-85041034828",2018,0,"Conference Paper","s5100152904","9-s2.0-57200380597","F",4,"9-u2.0-60106645","Universidad Técnica de Ambato","Ecuador",655,587,"univ"
"2-s2.0-85049382824",2018,1,"Conference Paper","s23917","9-s2.0-57201688604","F",3,"9-u2.0-60072035","University of Cuenca","Ecuador",777,1262,"univ"
"2-s2.0-85049382824",2018,1,"Conference Paper","s23917","9-s2.0-57201686685","F",4,"9-u2.0-60072035","University of Cuenca","Ecuador",777,1262,"univ"
"2-s2.0-85022211187",2018,0,"Conference Paper","s5100152904","9-s2.0-57194782186","F",3,"9-u2.0-60072035","University of Cuenca","Ecuador",777,1262,"univ"
"2-s2.0-85022211187",2018,0,"Conference Paper","s5100152904","9-s2.0-57202498037","M",4,"9-u2.0-60105693","Universidad Politécnica Salesiana, Cuenca","Ecuador",727,829,"univ"
