"author_id","indexed_name","surname","given_name","gender","citation_count","cited_by_count","coauthor_count","author_doc_all","authorEC_doc_CS_2018","authorEC_COA_doc_CS_2018","author_doc_CS_all_2018","author_doc_CS_all","ratiosCSEC","hindex","yearIn","yearFin","careerLength","active","affiliation_current","affiliation_name","country_affil","org_type","affil_author_count","affil_document_count","category"
"9-s2.0-57200148100","Narvaez R.","Narvaez","R. Byron","M",4,4,3,1,1,1,1,1,100,1,2017,2017,1,1,60072061,"Escuela Superior Politecnica del Litoral Ecuador","Ecuador","resi",1054,1618,"national"
"9-s2.0-57200149168","Benalcázar Chicaiza D.","Benalcázar Chicaiza","Daniela","F",0,0,6,2,1,1,1,2,100,0,2017,2019,3,1,60106645,"Universidad Técnica de Ambato","Ecuador","univ",655,587,"national"
"9-s2.0-57200158997","Narvaez K.","Narvaez","Katherine Cajas","F",0,0,6,1,1,1,1,1,100,0,2017,2017,1,1,60104598,"Universidad de las Fuerzas Armadas ESPE","Ecuador","univ",1490,1654,"national"
"9-s2.0-57200159144","Cueva W.","Cueva","Wilson F.","M",3,3,3,1,1,1,1,1,100,1,2017,2017,1,1,60108706,"Universidad del Azuay","Ecuador","univ",216,240,"national"
"9-s2.0-57200159155","Gualsaquí M.","Gualsaquí","Marco V.","M",1,1,4,2,2,2,2,2,100,1,2017,2017,1,1,60104598,"Universidad de las Fuerzas Armadas ESPE","Ecuador","univ",1490,1654,"national"
"9-s2.0-57200159451","Carrera E.","Carrera","Enrique V.","M",710,663,53,46,16,16,33,38,48,10,1997,2020,24,1,60104598,"Universidad de las Fuerzas Armadas ESPE","Ecuador","univ",1490,1654,"national"
"9-s2.0-57200159974","Salinas S.","Salinas","Silvana Vargas","F",0,0,6,1,1,1,1,1,100,0,2017,2017,1,1,60104598,"Universidad de las Fuerzas Armadas ESPE","Ecuador","univ",1490,1654,"national"
"9-s2.0-57200159982","Vizcaino E.","Vizcaino","E. Ivan P.","M",1,1,3,1,1,1,1,1,100,1,2017,2017,1,1,60104598,"Universidad de las Fuerzas Armadas ESPE","Ecuador","univ",1490,1654,"national"
"9-s2.0-57200161232","Lema-Condo E.","Lema-Condo","Efrén L.","M",2,2,9,3,2,2,2,3,100,1,2017,2019,3,1,60105693,"Universidad Politécnica Salesiana, Cuenca","Ecuador","univ",727,829,"national"
"9-s2.0-57200162172","Lopez R.","Lopez","Roberto Pineda","M",0,0,13,2,2,2,2,2,100,0,2017,2018,2,1,60104598,"Universidad de las Fuerzas Armadas ESPE","Ecuador","univ",1490,1654,"national"
"9-s2.0-57200162173","Lopez R.","Lopez","Rosario Pineda","F",0,0,13,2,2,2,2,2,100,0,2017,2018,2,1,60104598,"Universidad de las Fuerzas Armadas ESPE","Ecuador","univ",1490,1654,"national"
"9-s2.0-57200162960","Pablo H.","Hidalgo","Pablo","M",0,0,2,1,1,1,1,1,100,0,2017,2017,1,1,60072054,"Escuela Politécnica Nacional","Ecuador","univ",1031,1861,"national"
"9-s2.0-57200163177","Carchi-Tandazo T.","Carchi-Tandazo","Tanya","F",0,0,3,1,1,1,1,1,100,0,2017,2017,1,1,60107773,"Universidad Técnica de Machala","Ecuador","univ",317,257,"national"
"9-s2.0-57200163458","Alcivar-Pelaez O.","Alcivar-Pelaez","Oswaldo","M",0,0,3,1,1,1,1,1,100,0,2017,2017,1,1,60107773,"Universidad Técnica de Machala","Ecuador","univ",317,257,"national"
"9-s2.0-57200163554","Carpio A.","Carpio","Marco Alexander","M",1,1,4,1,1,1,1,1,100,1,2017,2017,1,1,60105693,"Universidad Politécnica Salesiana, Cuenca","Ecuador","univ",727,829,"national"
"9-s2.0-57200164035","Vasquez G.","Vasquez","Godinez","M",3,3,3,1,1,1,1,1,100,1,2017,2017,1,1,60108706,"Universidad del Azuay","Ecuador","univ",216,240,"national"
"9-s2.0-57200164226","Piaa-Morocho C.","Piaa-Morocho","Carlos E.","M",0,0,5,1,1,1,1,1,100,0,2017,2017,1,1,60105693,"Universidad Politécnica Salesiana, Cuenca","Ecuador","univ",727,829,"national"
"9-s2.0-57200164702","Pintado G.","Pintado","G. M.","NA",1,1,4,1,1,1,1,1,100,1,2017,2017,1,1,60105693,"Universidad Politécnica Salesiana, Cuenca","Ecuador","univ",727,829,"national"
"9-s2.0-57200164997","Taco P.","Taco","Paul Ayala","M",0,0,6,1,1,1,1,1,100,0,2017,2017,1,1,60104598,"Universidad de las Fuerzas Armadas ESPE","Ecuador","univ",1490,1654,"national"
"9-s2.0-57200166549","Gonzalez A.","Gonzalez","Andres","M",11,11,2,1,1,1,1,1,100,1,2017,2017,1,1,60104598,"Universidad de las Fuerzas Armadas ESPE","Ecuador","univ",1490,1654,"national"
"9-s2.0-57200166779","Camana M.","Camana","Mario","M",0,0,2,1,1,1,1,1,100,0,2017,2017,1,1,60072054,"Escuela Politécnica Nacional","Ecuador","univ",1031,1861,"national"
"9-s2.0-57200167001","Guapacasa J.","Guapacasa","Jorge","M",0,0,2,1,1,1,1,1,100,0,2017,2017,1,1,60105693,"Universidad Politécnica Salesiana, Cuenca","Ecuador","univ",727,829,"national"
"9-s2.0-57200167269","Calderon A.","Calderon","Alex","M",0,0,2,1,1,1,1,1,100,0,2017,2017,1,1,60105693,"Universidad Politécnica Salesiana, Cuenca","Ecuador","univ",727,829,"national"
"9-s2.0-57200167446","Carla G.","Garcia","Carla","F",0,0,2,1,1,1,1,1,100,0,2017,2017,1,1,60072054,"Escuela Politécnica Nacional","Ecuador","univ",1031,1861,"national"
"9-s2.0-57200168024","Carrera R.","Carrera","Ricardo","M",12,12,3,2,2,2,2,2,100,1,2017,2018,2,1,60072059,"Universidad San Francisco de Quito","Ecuador","univ",695,2386,"national"
"9-s2.0-57200168239","Wan Y.","Wan","Yan","F",1069,647,115,125,0,1,35,49,0,17,2007,2020,14,1,60003467,"The University of Texas at Arlington","United States","univ",7255,35584,"external"
"9-s2.0-57200168798","Flores-Calero M.","Flores-Calero","Marco Javier","M",3,3,13,6,3,3,3,6,100,1,2017,2019,3,1,60104598,"Universidad de las Fuerzas Armadas ESPE","Ecuador","univ",1490,1654,"national"
"9-s2.0-57200169350","Castro-Villalobos S.","Castro-Villalobos","Susana E.","F",2,2,4,2,2,2,2,2,100,1,2017,2018,2,1,60105693,"Universidad Politécnica Salesiana, Cuenca","Ecuador","univ",727,829,"national"
"9-s2.0-57200179630","Bojorque R.","Bojorque","Rodolfo","M",21,21,10,7,2,2,2,6,100,2,2017,2020,4,1,60105693,"Universidad Politécnica Salesiana, Cuenca","Ecuador","univ",727,829,"national"
"9-s2.0-57200185259","Hurtado R.","Hurtado","Remigio","M",28,27,10,8,4,4,4,8,100,3,2017,2019,3,1,60105693,"Universidad Politécnica Salesiana, Cuenca","Ecuador","univ",727,829,"national"
"9-s2.0-57200188483","Correa-Quezada R.","Correa-Quezada","Ronny","M",11,11,26,13,4,4,4,7,100,2,2016,2020,5,1,60072064,"Universidad Tecnica Particular de Loja","Ecuador","univ",983,1450,"national"
"9-s2.0-57200190419","Cruz-Cabrera M.","Cruz-Cabrera","Monica","F",0,0,3,1,1,1,1,1,100,0,2017,2017,1,1,60105693,"Universidad Politécnica Salesiana, Cuenca","Ecuador","univ",727,829,"national"
"9-s2.0-57200191464","Baculima-Pintado M.","Baculima-Pintado","Marco","M",0,0,3,1,1,1,1,1,100,0,2017,2017,1,1,60105693,"Universidad Politécnica Salesiana, Cuenca","Ecuador","univ",727,829,"national"
"9-s2.0-57200197213","Armada A.","Armada","Ana García","F",1290,1142,133,135,0,1,78,92,0,17,1997,2020,24,1,60001741,"Universidad Carlos III de Madrid","Spain","univ",4258,23071,"external"
"9-s2.0-57200203456","Vaca Alban R.","Vaca Alban","Robert","M",1,1,5,1,1,1,1,1,100,1,2018,2018,1,1,60106645,"Universidad Técnica de Ambato","Ecuador","univ",655,587,"national"
